contest_id;host_code;contest_name;models;participants;views;start_date;end_date
1;O;Halloween;915;453;162327;2023/10/06;2023/10/31
2;O;Fidget Toys;398;286;396362;2023/11/05;2023/11/26
3;O;Christmas Decoration;1582;681;238277;2023/11/12;2023/12/03
4;O;Make My Sign;889;469;141111;2023/11/20;2023/12/10
5;O;Flying Objects;252;212;206655;2023/11/26;2023/12/17
6;O;Party Ware;592;332;113934;2023/12/03;2023/12/24
7;O;Print Kitchen;1068;566;284997;2023/12/10;2024/01/01
8;O;Trophy Design;471;404;141803;2023/12/17;2024/01/07
9;O;2024 Calendar;206;209;189592;2023/12/24;2024/01/14
10;O;Year of the Dragon;735;534;197765;2024/01/04;2024/01/31
11;O;Office Helper;1362;838;307780;2024/01/14;2024/02/02
12;O;Valentine's Day;1443;937;228941;2024/01/21;2024/02/11
13;O;Let there be Light;732;538;239678;2024/01/28;2024/02/18
14;O;Pills Organizer;417;438;287274;2024/02/04;2024/02/25
15;O;Kit Card;743;693;294796;2024/02/22;2024/03/17
16;O;Landmark Inspired;618;594;224670;2024/02/29;2024/03/24
17;O;Easter;1349;1025;211702;2024/03/09;2024/03/28
18;O;Bathroom Accessories;1273;1070;282510;2024/03/17;2024/04/07
19;O;Floral Spring;1040;772;187192;2024/03/24;2024/04/14
20;O;Filament Purge;232;310;248940;2024/04/01;2024/04/24
21;O;Car Cabin Gadgets;622;616;404082;2024/04/08;2024/05/01
22;O;0.2mm Nozzle;588;523;308267;2024/04/14;2024/05/15
23;O;Mother's Day Design Festival;558;482;183843;2024/04/21;2024/05/08
24;O;Animal Frenzy;770;550;258711;2024/04/28;2024/05/19
25;O;Wireless Mouse;114;130;343658;2024/05/13;2024/06/14
26;O;Fishing Gear;365;337;183259;2024/05/19;2024/06/09
27;M;Master: OpenSCAD;492;628;404229;2024/05/26;2024/06/30
28;O;Beach & Pool Essentials;567;466;213158;2024/06/03;2024/06/26
29;O;Wedding Decor;474;397;130120;2024/06/11;2024/07/04
30;O;Wizarding Universe;554;415;222652;2024/06/17;2024/07/10
31;O;Beauty of Mathematics;678;546;304214;2024/06/24;2024/07/17
32;O;Games of the 80s;568;464;248429;2024/06/29;2024/07/15
33;O;Shoe Charms;426;340;146225;2024/07/02;2024/07/24
34;O;Celebrate Sports;540;483;147066;2024/07/08;2024/07/30
37;O;Sandbox Games;499;441;233336;2024/07/16;2024/08/07
38;O;CMF by Nothing Phone 1;484;509;304307;2024/07/23;2024/08/14
39;O;Fridge Magnets;1210;876;229582;2024/07/25;2024/08/15
40;O;Biological Models;267;283;190079;2024/07/30;2024/08/21
42;O;School Supplies;1203;928;337150;2024/08/07;2024/08/29
43;O;Model Cars;243;327;304884;2024/08/13;2024/09/05
44;O;Pet Supplies;601;528;267398;2024/08/20;2024/09/11
45;O;Games of the 90s;845;608;288294;2024/08/23;2024/09/15
47;O;Hangers;1249;1000;356726;2024/08/28;2024/09/20
48;O;Puzzles & Brain Teasers;526;477;299724;2024/09/03;2024/09/27
51;O;Halloween 2024;3656;2122;662455;2024/09/01;2024/10/15
52;O;Magnificent Hometown;315;331;141855;2024/09/18;2024/10/11
53;O;Wireless Head/Earphone Accessories;362;368;256163;2024/09/24;2024/10/16
54;O;Modern Armaments: Tanks;225;251;189232;2024/09/30;2024/10/25
55;M;Master: Engines;193;266;382757;2024/09/30;2024/10/31
56;O;Travel Essentials;1306;1007;384276;2024/10/12;2024/11/04
57;O;Masks;390;368;486827;2024/10/17;2024/11/10
58;O;Board Games;1108;916;578090;2024/10/25;2024/11/17
59;O;Space Explorations;924;776;388988;2024/10/30;2024/12/01
60;O;Trip to North Pole;1410;1045;309073;2024/11/08;2024/12/01
61;O;Castles;322;347;283186;2024/11/14;2024/12/15
62;O;Cozy Christmas;6254;3362;672259;2024/11/29;2024/12/21
63;M;Master: Mecha;302;288;304020;2024/11/26;2024/12/22
