contest_id|awards|prize_usd|hardware_awards|winners|winner_likes|winner_downloads|first_prize_title|first_prize_creator|first_prize_likes|avg_likes_listed
1|18|1500|0|18|24487|45365|Haunted Hearse - Print-in-Place Fold|Whopper Printing|1746|162
2|18|1800|0|18|96739|482181|Double Action OTF Knife/Comb|Asdfgasdfg|5306|482
3|23|1400|0|23|45175|103783|Arctic Glow Christmas Lantern LED la|Kardes.Design|5946|118
4|13|1000|0|13|7547|19665|Customizable Prize Wheel|Kit Crafters|1240|32
5|13|1000|0|13|50262|154475|Batwing|Wcad00|1588|533
6|21|1620|0|21|13019|24095|The Annoying Scissor - Party Favor T|SPStudio|702|33
7|15|1080|0|15|49447|128181|Toothpick Dispenser - all parts prin|FlorinV|10253|131
8|15|1080|0|14|10527|22197|Monument Valley Lamp Trophy with Bam|Sven97|917|72
9|15|1080|0|15|18991|27625|Date Keeper Perpetual Flip Calendar|make 3D|9074|142
10|18|2190|0|18|14383|32652|Dragon Dance in Cloud River|GARYwow|129|101
11|12|960|0|10|45270|64705|Office lawn cable organizer|TheMiguelBi|3034|326
12|15|1485|0|15|17273|31378|Lovers Valentine Day Shadowbox|TechNerd|7298|263
13|12|690|0|12|41057|62402|BellSprout Lamp LED Kit 001|SavageLau|10874|246
14|12|960|0|12|24249|68834|Block Pill Box|wuguigui|2151|814
15|15|1080|0|15|95391|232445|Jeep Kit Card|agepbiz|24263|1009
16|15|1080|0|15|17671|20719|BIG BEN (Queen Elizabeth Tower)|t.schafer|1258|59
17|15|1080|0|15|12176|27632|Easter Rabbit Egg House|Filionix3D|1699|112
18|12|960|0|11|34103|52271|Spinning Bathroom Organizer|DKprints|9988|285
19|15|1080|0|15|31653|46067|Sunflower Windmill - Customizable Sy|BamBam Design|7680|386
20|15|1080|0|15|30047|28827|The Poop Scream - Frame Box|PrintinPlace|770|213
21|12|960|0|12|32618|55228|Autotray Lite - A1, P1 and X1 compat|Darren 3d print|1913|184
22|15|1800|0|15|27258|46432|Eden King no support (50% Scale)|肯德基怪叔叔|1192|556
23|12|960|0|12|16164|29063|Scrolling Memories - for A1, P1 AND|Darren 3d print|360|195
24|13|1000|0|13|32878|60600|Minimals Safari Pack|GlennovitS 3D|3956|328
25|9|900|0|9|17607|45554|Millennium Falcon Wireless Mouse|上进的up主|3664|185
26|12|810|0|12|34254|40585|Predator fishing tactical belt|CvH|438|178
27|12|1560|0|12|99129|276182|Parametric Sorting Tray|Benjamin Kott|23636|485
