contest_id,host_code,contest_name,models,participants,views,start_date,end_date,awards,prize_usd,hardware_awards,winners,winner_likes,winner_downloads,first_prize_title,first_prize_creator,first_prize_likes,avg_likes_listed,host_type,status,duration_days,models_per_day,models_per_participant,views_per_model,year,start_month,brand_sponsored,category,pct_participants,pct_models_per_day,pct_views,score,tier,mega_holiday
1,O,Halloween,915,453,162327,2023-10-06,2023-10-31,18,1500,0,18,24487,45365,Haunted Hearse - Print-in-Place Fold,Whopper Printing,1746.0,162,Official,Finished,26,35.19230769230769,2.019867549668874,177.40655737704918,2023,10,False,Seasonal & Holidays,44.0,76.0,15.333333333333332,45.0,B,True
2,O,Fidget Toys,398,286,396362,2023-11-05,2023-11-26,18,1800,0,18,96739,482181,Double Action OTF Knife/Comb,Asdfgasdfg,5306.0,482,Official,Finished,22,18.09090909090909,1.3916083916083917,995.8844221105528,2023,11,False,Toys & Games,18.666666666666668,40.666666666666664,86.0,45.5,B,False
3,O,Christmas Decoration,1582,681,238277,2023-11-12,2023-12-03,23,1400,0,23,45175,103783,Arctic Glow Christmas Lantern LED la,Kardes.Design,5946.0,118,Official,Finished,22,71.9090909090909,2.3230543318649044,150.61757269279394,2023,11,False,Seasonal & Holidays,74.66666666666667,94.0,37.333333333333336,69.3,A,True
4,O,Make My Sign,889,469,141111,2023-11-20,2023-12-10,13,1000,0,13,7547,19665,Customizable Prize Wheel,Kit Crafters,1240.0,32,Official,Finished,21,42.333333333333336,1.8955223880597014,158.73003374578178,2023,11,False,Home & Functional,46.666666666666664,80.0,6.0,44.5,B,False
5,O,Flying Objects,252,212,206655,2023-11-26,2023-12-17,13,1000,0,13,50262,154475,Batwing,Wcad00,1588.0,533,Official,Finished,22,11.454545454545455,1.1886792452830188,820.0595238095239,2023,11,False,Toys & Games,10.666666666666668,24.0,28.666666666666668,20.1,C,False
6,O,Party Ware,592,332,113934,2023-12-03,2023-12-24,21,1620,0,21,13019,24095,The Annoying Scissor - Party Favor T,SPStudio,702.0,33,Official,Finished,22,26.90909090909091,1.783132530120482,192.4560810810811,2023,12,False,Home & Functional,28.000000000000004,62.66666666666667,4.666666666666667,31.4,C,False
7,O,Print Kitchen,1068,566,284997,2023-12-10,2024-01-01,15,1080,0,15,49447,128181,Toothpick Dispenser - all parts prin,FlorinV,10253.0,131,Official,Finished,23,46.43478260869565,1.8869257950530036,266.8511235955056,2023,12,False,Home & Functional,66.0,82.66666666666667,53.333333333333336,67.2,A,False
8,O,Trophy Design,471,404,141803,2023-12-17,2024-01-07,15,1080,0,14,10527,22197,Monument Valley Lamp Trophy with Bam,Sven97,917.0,72,Official,Finished,22,21.40909090909091,1.1658415841584158,301.067940552017,2023,12,False,Toys & Games,37.666666666666664,50.66666666666667,6.666666666666667,32.3,C,False
9,O,2024 Calendar,206,209,189592,2023-12-24,2024-01-14,15,1080,0,15,18991,27625,Date Keeper Perpetual Flip Calendar,make 3D,9074.0,142,Official,Finished,22,9.363636363636363,0.9856459330143541,920.3495145631068,2023,12,False,Seasonal & Holidays,10.0,17.333333333333336,24.666666666666668,16.6,C,False
10,O,Year of the Dragon,735,534,197765,2024-01-04,2024-01-31,18,2190,0,18,14383,32652,Dragon Dance in Cloud River,GARYwow,129.0,101,Official,Finished,28,26.25,1.3764044943820224,269.06802721088434,2024,1,False,Seasonal & Holidays,58.666666666666664,61.33333333333333,26.666666666666668,49.9,B,False
11,O,Office Helper,1362,838,307780,2024-01-14,2024-02-02,12,960,0,10,45270,64705,Office lawn cable organizer,TheMiguelBi,3034.0,326,Official,Finished,20,68.1,1.6252983293556087,225.97650513950074,2024,1,False,Home & Functional,84.0,93.33333333333333,63.33333333333333,80.6,A,False
